Filename,ExecutionTime,K,MaxIters,Resolution,Pixels
00000038_(2).jpg,5.5912,16,10,1024x576,589824
00000038_(3).jpg,9.8306,16,10,1024x1001,1025024
00000038_(4).jpg,5.5252,16,10,950x633,601350
00000038_(5).jpg,6.0069,16,10,797x793,632021
00000038_(6).jpg,7.1315,16,10,1024x705,721920
00000039.jpg,17.8571,16,10,1600x1067,1707200
00000039_(2).jpg,11.2443,16,10,1024x1024,1048576
00000039_(3).jpg,2.0999,16,10,639x369,235791
00000039_(4).jpg,9.8328,16,10,1024x1024,1048576
00000039_(5).jpg,6.5228,16,10,1024x681,697344
00000039_(6).jpg,3.9524,16,10,533x799,425867
00000040.jpg,5.4164,16,10,1024x576,589824
00000040_(2).jpg,14.9500,16,10,1600x1027,1643200
00000040_(3).jpg,15.7836,16,10,1600x1068,1708800
00000040_(4).jpg,6.4104,16,10,800x800,640000
00000040_(5).jpg,12.3893,16,10,1600x831,1329600
00000040_(6).jpg,13.7048,16,10,1600x900,1440000
00000041.jpg,15.6195,16,10,1600x1067,1707200
00000041_(2).jpg,13.8630,16,10,1600x900,1440000
00000041_(3).jpg,6.8099,16,10,1024x671,687104
00000041_(4).jpg,13.3319,16,10,1600x902,1443200
00000041_(5).jpg,6.2212,16,10,800x800,640000
00000041_(6).jpg,6.5354,16,10,1024x683,699392
00000041_(7).jpg,7.8374,16,10,1024x792,811008
00000042.jpg,6.6964,16,10,800x800,640000
00000042_(2).jpg,16.5129,16,10,1600x1071,1713600
00000042_(3).jpg,4.7440,16,10,1024x500,512000
00000042_(4).jpg,13.4464,16,10,1600x900,1440000
00000042_(5).jpg,6.1126,16,10,1023x681,696663
00000042_(6).jpg,14.1305,16,10,1600x979,1566400
00000042_(7).jpg,4.2376,16,10,551x800,440800
00000043.jpg,7.0012,16,10,1024x724,741376
00000043_(2).jpg,2.3086,16,10,500x500,250000
00000043_(3).jpg,3.7267,16,10,640x640,409600
00000043_(4).jpg,6.1386,16,10,800x800,640000
00000043_(5).jpg,3.9924,16,10,532x800,425600
00000043_(6).jpg,4.2719,16,10,598x800,478400
00000043_(7).jpg,13.8129,16,10,1600x900,1440000
00000044.jpg,10.2297,16,10,1024x1024,1048576
00000044_(2).jpg,10.1958,16,10,1024x1024,1048576
00000044_(3).jpg,15.4398,16,10,1600x1066,1705600
00000044_(4).jpg,15.9223,16,10,1600x1066,1705600
00000044_(5).jpg,7.4873,16,10,1024x768,786432
00000044_(6).jpg,6.4096,16,10,1023x703,719169
00000045.jpg,5.8574,16,10,800x800,640000
00000045_(2).jpg,7.4002,16,10,1024x768,786432
